Faction	Unit Type	Unit Name	Command	AVB	Characteristics	Keywords	High Command	Points Cost	Special Rules	Companion
Scions of Yaldabaoth	Troop	Anointed	0	1	Human, Infantry, Living Flesh	Fearless, Intimidating (1)	No	45		
Scions of Yaldabaoth	Support Character	Aodharu	0	1	Dead Flesh, Risen	Bloodlust, Dispel (BLK, BLK), Golem, Intimidating (2)	No	30	Frightened	
Scions of Yaldabaoth	Troop	Bugbowls	0	1	Infantry, Projectile, Red Cap	Cover (BLU)	No	30	Shove (2), Slowed, Displace (8)	
Scions of Yaldabaoth	Troop	Crucible	0	1	Red Cap	Dispel (BLU), Golem, Intimidating (1), Large	No	55	Vulnerable, Place (10)	
Scions of Yaldabaoth	Troop	Echoes	1	1	Elf, Infantry	Elite, Golem, Intimidating (1)	No	40	Impassable, Immovable	
Scions of Yaldabaoth	Support Character	Feadhalu	0	1	Living Flesh	Ambusher, Dispel (BLK), Golem	No	30	Frightened, Place (7)	
Scions of Yaldabaoth	Troop	Flamecobs	0	1	Infantry, Projectile, Red Cap		No	20		
Scions of Yaldabaoth	Troop	Gobblers	0	1	Infantry, Projectile, Red Cap	Fearless, Scout	No	30	Slowed, Diplsace (8)	
Scions of Yaldabaoth	Support Character	Harvester	1	1	Dead Flesh, Risen, Elf	Dispel (BLK), Golem, Intimidating (2)	No	40	Frightened	
Scions of Yaldabaoth	Troop	Husks	0	2	Dead Flesh, Risen	Golem	No	15	Slowed	
Scions of Yaldabaoth	Troop	Intact	0	1	Human, Infantry, Living Flesh		no	25	Frightened, Bloodlust, Repeat a Die	
Scions of Yaldabaoth	Troop	Kipleacht	0	1	Living Flesh	Ambusher, Golem, Large, Intimidating (1)	No	30	Slowed, Frightened, Place, Displace, Repeat a Die	
Scions of Yaldabaoth	Troop	Marked	0	1	Human, Infantry, Living Flesh		No	35	Repeat a Die	
Scions of Yaldabaoth	Troop	Marked Marksmen	0	1	Human, Infantry, Living Flesh	Scout	No	25	Shove (3), Displace (3), Repeat a Die	
Scions of Yaldabaoth	Named Character	Master Keorl	3	1	Character, Elf, Darkminded, High Command, Living Flesh	Intimidating (2), Spellcaster, Join (Infantry, Living Flesh)	Yes	50	Frightened, Vulnerable, Dispel (GRN)	
Scions of Yaldabaoth	Named Character	Master Nepharim	3	1	Character, Dead Flesh, Darkminded, Elf, High Command	Intimidating (2), Spellcaster, Join (Infantry, Dead Flesh)	Yes	50	Place (5)	
Scions of Yaldabaoth	Troop	Mornmab	0	1	Living Flesh	Dispel (BLK), Golem, Large, Intimidating (2)	No	50	Frightened, Shove (3), Displace (3)	
Scions of Yaldabaoth	Support Character	Namaoin	0	1	Character, Darkminded, Elf, Fog	Ambusher, Dispel (BLK, BLK), Spellcaster	No	30	Vulnerable, Frightened, Impassable	
Scions of Yaldabaoth	Support Character	Needle	1	3	Character, Darkminded, Elf, Dead Flesh	Dispel (BLU, BLK), Join (Living Flesh, Dead Flesh), Spellcaster	No	25	Heal, Frightened	
Scions of Yaldabaoth	Named Character	Nuada	3	1	Alven, Character, Elf, High Commander	Elite	Yes	55	Heal, Bloodlust, Fearless, Slowed	
Scions of Yaldabaoth	Character	Orc Husk	0	2	Dead Flesh, Risen	Golem, Join (Infantry, Dead Flesh)	no	10	Vulnerable, Frightened, Slowed, Disarmed	
Scions of Yaldabaoth	Troop	Osseous	0	1	Infantry, Projectile, Red Cap		no	20	Bloodlust, Shove (5), Displace (8)	
Scions of Yaldabaoth	Character	Overseer	2	1	Character, Red Cap	Join (Gobblers, Bugbowls, Osseous)	No	25	Shove (4), Slowed, Place (10)	
Scions of Yaldabaoth	Character	Progenitor Sculptor	2	1	Character, Elf, Darkminded, High Command, Living Flesh	Intimidating (2), Spellcaster, Join (Infantry, Living Flesh)	Yes	30	Frightened, Vulnerable, Dispel (GRN)	
Scions of Yaldabaoth	Character	Puppeteer	2	1	Character, Dead Flesh, Darkminded, Elf	Dispel (BLU), Spellcaster, Join (Risen)	no	30	Place (5)	
Scions of Yaldabaoth	Character	Rumpy Ride	2	1	Character, Red Cap	Dispel (BLU, BLK) Elite, Join (Red Caps, Infantry, Spellcaster)	No	45		
Scions of Yaldabaoth	Character	Sightless	0	3	Character, Red Cap	Dispel (BLU), Join (Red Cap, Infantry)	No	15		
Scions of Yaldabaoth	Troop	Stompers	0	1	Infantry, Projectile, Red Cap	Favorable Terrain (Rugged), Intimidating (1)	No	25	Frightened, Slowed	
Scions of Yaldabaoth	Character	Vercana	0	1	Character, Human, Mercenary	Ambusher	no	30	Place (5)	
